from,to
JL,setup65
JL,talent_team_papendal
JL,eurosped_almelo
JL,coolen_alterno
JL,usc_muenster
JL,NLD
MT,rc_cannes
MT,volero_le_cannet
MT,volero_zuerich
MT,le_cannet_volley_ball
MT,smaesch_pfeffingen
MT,vc_maritza
MT,BGR
ET,talent_team_papendal
ET,alterno_apeldoorn
ET,eurosped_twente
ET,ladies_in_black_aachen
ET,NLD
HK,vfb_ulm
HK,olympiastuetzpunkt_stuttgart
HK,bundesstuetzpunkt_stuttgart
HK,DEU
IVV,asterix_kieldrecht
IVV,rc_cannes
IVV,bisonte_firenze
IVV,calcit_ljubljana
IVV,rote_raben_vilsbiburg
IVV,csm_targoviste
IVV,BEL
JN,grot_bundowlani_lodz
JN,bielsko_biala
JN,ks_palac_bydgoszcz
JN,sms_szczyrk
JN,POL
SL,kurobe_aquafairies
SL,beylikduezue
SL,imoco_conegliano
SL,penn_state_univ
SL,USA
MSP,millenium_brescia
MSP,dresdner_sc
MSP,san_bernardo_cuneo
MSP,saugella
MSP,trentino
MSP,hermaea_olbia
MSP,cv_barcelona
MSP,ESP
HJ,vfb_thueringen
HJ,vc_sneek
HJ,NLD
HD,mtv_stuttgart_zwei
HD,bundesstuetzpunkt_stuttgart
HD,DEU
KR,university_of_alabama
KR,beziers_angels
KR,luka_bar
KR,USA
LB,fv_tuebinger_modell
LB,bsp_mtv_stuttgart
LB,vco_berlin
LB,DEU
RK,kbm_branik
RK,lp_viesti
RK,lp_kangasala
RK,hpk_naiset
RK,kimmo
RK,someron_pallo
RK,FIN
LG,ej_mtv_stuttgart
LG,bundesstuetzpunkt_stuttgart
LG,DEU